/--------------------------    S C I N T R E X    -----------------------------
/!  Revision:	4.3F
/!  Line____:	0.00000 +
/!  Date____:	08/04/28
/!  Job_____:	0      
/!  Operator:	
/!  Serial__:	0      
/!  Basefld_:	51500
/!  Duration:	0.5
/!  Cyc_Time:	0.5
/!  Station_:	0.00000 +
/!  Mag_Data:	Hours/TotFld/Time
/------------------------------------------------------------------------------
 2.950278  51231.4  02:57:01
 2.950417  51246.2  02:57:01
 2.950556  51484.8  02:57:02
 2.950694  50987.3  02:57:02
 2.950833  51475.3  02:57:03
 2.950972  51483.4  02:57:03
 2.951111  51491.7  02:57:04
 2.951250  51481.2  02:57:04
 2.951389  51483.4  02:57:05
 2.951528  51483.0  02:57:05
 2.951667  51482.4  02:57:06
 2.951806  51483.6  02:57:06
 2.951944  51483.1  02:57:07
 2.952083  51481.9  02:57:07
 2.952222  51473.7  02:57:08
 2.952361  51240.7  02:57:08
 2.952500  51236.4  02:57:09
 2.952639  50517.0  02:57:09
 2.952778  51480.7  02:57:10
 2.952917  51476.7  02:57:10
 2.953056  51483.4  02:57:11
 2.953194  51483.5  02:57:11
 2.953333  51483.7  02:57:12
 2.953472  51482.7  02:57:12
 2.953611  51483.6  02:57:13
 2.953750  51482.0  02:57:13
 2.953889  51482.1  02:57:14
 2.954028  51482.3  02:57:14
 2.954167  51482.3  02:57:15
 2.954306  51482.3  02:57:15
 2.954444  51481.9  02:57:16
 2.954583  51482.3  02:57:16
 2.954722  51481.3  02:57:17
 2.954861  51481.6  02:57:17
 2.955000  51482.0  02:57:18
 2.955139  51481.9  02:57:18
 2.955278  51481.8  02:57:19
 2.955417  51482.8  02:57:19
 2.955556  51482.6  02:57:20
 2.955694  51481.7  02:57:20
 2.955833  51481.6  02:57:21
 2.955972  51483.0  02:57:21
 2.956111  51483.8  02:57:22
 2.956250  51482.0  02:57:22
 2.956389  51480.8  02:57:23
 2.956528  51482.7  02:57:23
 2.956667  51468.6  02:57:24
 2.956806  51472.6  02:57:24
 2.956944  51247.2  02:57:25
 2.957083  51494.0  02:57:25
 2.957222  51471.6  02:57:26
 2.957361  51393.9  02:57:26
 2.957500  51482.1  02:57:27
 2.957639  51482.9  02:57:27
 2.957778  51481.7  02:57:28
 2.957917  51482.3  02:57:28
 2.958056  51483.0  02:57:29
 2.958194  51483.6  02:57:29
 2.958333  51482.2  02:57:30
 2.958472  51481.1  02:57:30
 2.958611  51483.0  02:57:31
 2.958750  51483.0  02:57:31
 2.958889  51482.1  02:57:32
 2.959028  51482.7  02:57:32
 2.959167  51481.7  02:57:33
 2.959306  51458.0  02:57:33
 2.959444  51467.0  02:57:34
 2.959583  53378.7  02:57:34
 2.959722  50067.6  02:57:35
 2.959861  50319.8  02:57:35
 2.960000  50994.8  02:57:36
 2.960139  50090.9  02:57:36
 2.960278  51249.7  02:57:37
 2.960417  51228.4  02:57:37
 2.960556  51480.3  02:57:38
 2.960694  51482.6  02:57:38
 2.960833  51481.9  02:57:39
 2.960972  51482.6  02:57:39
 2.961111  51482.6  02:57:40
 2.961250  51481.7  02:57:40
 2.961389  51483.3  02:57:41
