//Flight 0
//Date 2008/04/28
Random  Base1
  2.950278           51231.40 
  2.950417           51246.20 
  2.950556           51484.80 
  2.950694           50987.30 
  2.950833           51475.30 
  2.950972           51483.40 
  2.951111           51491.70 
  2.951250           51481.20 
  2.951389           51483.40 
  2.951528           51483.00 
  2.951667           51482.40 
  2.951806           51483.60 
  2.951944           51483.10 
  2.952083           51481.90 
  2.952222           51473.70 
  2.952361           51240.70 
  2.952500           51236.40 
  2.952639           50517.00 
  2.952778           51480.70 
  2.952917           51476.70 
  2.953056           51483.40 
  2.953194           51483.50 
  2.953333           51483.70 
  2.953472           51482.70 
  2.953611           51483.60 
  2.953750           51482.00 
  2.953889           51482.10 
  2.954028           51482.30 
  2.954167           51482.30 
  2.954306           51482.30 
  2.954444           51481.90 
  2.954583           51482.30 
  2.954722           51481.30 
  2.954861           51481.60 
  2.955000           51482.00 
  2.955139           51481.90 
  2.955278           51481.80 
  2.955417           51482.80 
  2.955556           51482.60 
  2.955694           51481.70 
  2.955833           51481.60 
  2.955972           51483.00 
  2.956111           51483.80 
  2.956250           51482.00 
  2.956389           51480.80 
  2.956528           51482.70 
  2.956667           51468.60 
  2.956806           51472.60 
  2.956944           51247.20 
  2.957083           51494.00 
  2.957222           51471.60 
  2.957361           51393.90 
  2.957500           51482.10 
  2.957639           51482.90 
  2.957778           51481.70 
  2.957917           51482.30 
  2.958056           51483.00 
  2.958194           51483.60 
  2.958333           51482.20 
  2.958472           51481.10 
  2.958611           51483.00 
  2.958750           51483.00 
  2.958889           51482.10 
  2.959028           51482.70 
  2.959167           51481.70 
  2.959306           51458.00 
  2.959444           51467.00 
  2.959583           53378.70 
  2.959722           50067.60 
  2.959861           50319.80 
  2.960000           50994.80 
  2.960139           50090.90 
  2.960278           51249.70 
  2.960417           51228.40 
  2.960556           51480.30 
  2.960694           51482.60 
  2.960833           51481.90 
  2.960972           51482.60 
  2.961111           51482.60 
  2.961250           51481.70 
  2.961389           51483.30 
  2.961528           51482.40 
  2.961667           51482.60 
  2.961806           51483.00 
  2.961944           51487.10 
  2.962083           51482.10 
  2.962222           51480.70 
  2.962361           51478.60 
  2.962500           51479.10 
  2.962639           51467.00 
  2.962778           51483.70 
  2.962917           51481.80 
  2.963056           51481.20 
  2.963194           51483.10 
  2.963333           51482.60 
  2.963472           51482.20 
  2.963611           51482.10 
  2.963750           51482.90 
  2.963889           51482.90 
  2.964028           51482.20 
  2.964167           51482.40 
  2.964306           51482.10 
  2.964444           51482.00 
  2.964583           51484.10 
  2.964722           51481.40 
  2.964861           51481.50 
  2.965000           51482.00 
  2.965139           51481.80 
  2.965278           51482.90 
  2.965417           51483.20 
  2.965556           51482.10 
  2.965694           51482.30 
  2.965833           51482.20 
  2.965972           51483.50 
  2.966111           51481.50 
  2.966250           51490.70 
  2.966389           51255.00 
  2.966528           51017.00 
  2.966667           50991.80 
  2.966806           51494.00 
  2.966944           51479.30 
  2.967083           51481.70 
  2.967222           51484.30 
  2.967361           51480.40 
  2.967500           51483.60 
  2.967639           51481.80 
  2.967778           51483.50 
  2.967917           51482.80 
  2.968056           51482.50 
  2.968194           51482.90 
  2.968333           51482.10 
  2.968472           51472.70 
  2.968611           51464.80 
  2.968750           51472.70 
  2.968889           51483.50 
  2.969028           51483.20 
  2.969167           51481.00 
  2.969306           51481.40 
  2.969444           51482.20 
  2.969583           51483.80 
  2.969722           51481.20 
  2.969861           51482.30 
  2.970000           51482.60 
  2.970139           51483.10 
  2.970278           51482.50 
  2.970417           51482.40 
  2.970556           51482.00 
  2.970694           51482.50 
  2.970833           51482.60 
  2.970972           51483.20 
  2.971111           51482.20 
  2.971250           51481.00 
  2.971389           51482.80 
  2.971528           51482.60 
  2.971667           51448.90 
  2.971806           51481.80 
  2.971944           51482.10 
  2.972083           48532.40 
  2.972222           53596.20 
  2.972361           49862.90 
  2.972500           50156.00 
  2.972639           51728.00 
  2.972778           48855.30 
  2.972917           49034.80 
  2.973056           53280.20 
  2.973194           48347.50 
  2.973333           53209.30 
  2.973472           48445.70 
  2.973611           52279.60 
  2.973750           48999.50 
  2.973889           50068.70 
  2.974028           51216.60 
  2.974167           50734.50 
  2.974306           51473.70 
  2.974444           51490.70 
  2.974583           51243.70 
  2.974722           51480.60 
  2.974861           51482.90 
  2.975000           50819.20 
  2.975139           51240.30 
  2.975278           51477.10 
  2.975417           50991.90 
  2.975556           51506.40 
  2.975694           50580.20 
  2.975833           50558.80 
  2.975972           50057.20 
  2.976111           51263.10 
  2.976250           54270.40 
  2.976389           49373.70 
  2.976528           48455.60 
  2.976667           49161.80 
  2.976806           50771.70 
  2.976944           51473.40 
  2.977083           47270.20 
  2.977222           49015.70 
  2.977361           51282.60 
  2.977500           51228.00 
  2.977639           51027.80 
  2.977778           51515.40 
  2.977917           50925.10 
  2.978056           51475.00 
  2.978194           51467.40 
  2.978333           51477.90 
  2.978472           51482.10 
  2.978611           51482.80 
  2.978750           51482.20 
  2.978889           51480.40 
  2.979028           51481.80 
  2.979167           51482.70 
  2.979306           51482.50 
  2.979444           51481.50 
  2.979583           51483.10 
  2.979722           51482.80 
  2.979861           51483.20 
  2.980000           51481.00 
  2.980139           51482.70 
  2.980278           51482.10 
  2.980417           51476.60 
  2.980556           51257.40 
  2.980694           51469.70 
  2.980833           51241.80 
  2.980972           51492.50 
  2.981111           51476.60 
  2.981250           51480.90 
  2.981389           51483.40 
  2.981528           51482.20 
