SAMPLEID,HOLEID,PROJECTCODE,SAMPFROM,SAMPTO,SAMPLETYPE,SampleDate,SampleLoggedBy,Ag_00MXB_ppm,Al_00MXB_ppm,As_00MXB_ppm,Au_00Q0I_ppm,Bi_00MXB_ppm,Ca_00MXB_ppm,Co_00MXB_ppm,Cu_00MXB_ppm,Fe_00MXB_pct,K_00MXB_ppm,Mg_00MXB_ppm,Mn_00MXB_ppm,Na_00MXB_ppm,P_00MXB_ppm,Pb_00MXB_ppm,Rb_00MXB_ppm,Sb_00MXB_ppm,Sr_00MXB_ppm,Ti_00MXB_ppm,U_00MXB_ppm,Zn_00MXB_ppm
"GJ23118","ESD8003","UNDERCOVER",280.5,284,"FILLET","24-Jul-2008","HATTO9",1,46100,5,0.01,10,29400,43,40,8.64,4200,12000,1290,25300,5310,8,18,5,73,480,10,23
"GJ23119","ESD8003","UNDERCOVER",284,288,"FILLET","24-Jul-2008","HATTO9",1,50400,5,0.01,10,9670,32,19,8.5,1900,8470,290,35000,3650,8,5,5,33,220,20,18
"GJ23120","ESD8003","UNDERCOVER",288,292,"FILLET","24-Jul-2008","HATTO9",1,15400,5,0.01,10,1040,34,8,2.85,900,6270,110,7620,480,5,5,5,13,160,10,18
"GJ23121","ESD8003","UNDERCOVER",292,296,"FILLET","24-Jul-2008","HATTO9",1,47200,5,0.01,10,7240,27,16,4.09,8100,14600,270,24500,440,9,54,5,45,1020,10,16
"GJ23122","ESD8003","UNDERCOVER",296,300,"FILLET","24-Jul-2008","HATTO9",1,60000,5,0.02,10,10800,22,15,9.58,3100,13600,300,40500,2240,9,5,5,42,390,10,19
"GJ23123","ESD8003","UNDERCOVER",300,304,"FILLET","24-Jul-2008","HATTO9",1,62300,5,0.01,10,7780,26,39,5.89,8200,12400,220,41200,810,17,40,5,54,1330,10,16
"GJ23124","ESD8003","UNDERCOVER",304,308,"FILLET","24-Jul-2008","HATTO9",1,31400,5,0.01,10,7790,21,19,8.38,6900,15400,280,12400,1090,10,34,5,33,1180,10,16
"GJ23125","ESD8003","UNDERCOVER",308,312,"FILLET","24-Jul-2008","HATTO9",1,40900,5,0.01,10,3990,41,44,4.08,5700,9330,210,24600,420,18,27,5,33,1140,10,17
"GJ23126","ESD8003","UNDERCOVER",312,316,"FILLET","24-Jul-2008","HATTO9",1,51900,5,0.01,10,3100,24,19,4.17,3500,12400,210,32600,570,11,14,5,33,310,10,16
"GJ23127","ESD8003","UNDERCOVER",316,320,"FILLET","24-Jul-2008","HATTO9",1,54100,5,0.01,10,2420,15,13,3.16,4800,9260,170,36900,600,5,16,5,25,170,10,13
"GJ23128","ESD8003","UNDERCOVER",320,324,"FILLET","24-Jul-2008","HATTO9",1,63200,5,0.01,10,1620,16,9,6.11,1800,23400,270,36500,470,5,5,5,15,320,10,16
"GJ23129","ESD8003","UNDERCOVER",324,328,"FILLET","24-Jul-2008","HATTO9",1,51500,5,0.03,10,3810,37,16,3.66,4400,8320,210,35200,530,10,18,5,28,380,10,13
"GJ23130","ESD8003","UNDERCOVER",328,332,"FILLET","24-Jul-2008","HATTO9",1,41100,5,0.01,10,1520,56,15,3.33,3300,7930,170,28000,510,14,8,5,16,180,10,13
"GJ23131","ESD8003","UNDERCOVER",332,336,"FILLET","24-Jul-2008","HATTO9",1,44100,5,0.01,10,2450,23,13,3.41,8300,8690,230,25000,410,21,41,5,29,1520,10,19
"GJ23132","ESD8003","UNDERCOVER",336,340,"FILLET","24-Jul-2008","HATTO9",1,70200,5,0.01,10,6560,10,9,2.71,5600,7330,160,48100,520,8,28,5,77,1480,10,13
"GJ23133","ESD8003","UNDERCOVER",340,344,"FILLET","24-Jul-2008","HATTO9",1,62500,5,0.01,10,4420,8,8,3.29,9500,11300,210,37800,540,12,46,5,66,2720,10,16
"GJ23134","ESD8003","UNDERCOVER",344,348,"FILLET","24-Jul-2008","HATTO9",1,55200,5,0.01,10,6680,8,8,2.65,7300,10800,210,34300,580,8,33,5,57,1540,10,12
"GJ23135","ESD8003","UNDERCOVER",348,352,"FILLET","24-Jul-2008","HATTO9",1,61400,5,0.01,10,5070,8,11,2.92,13000,9980,190,37100,500,9,73,5,63,3160,10,15
"GJ23136","ESD8003","UNDERCOVER",352,356,"FILLET","24-Jul-2008","HATTO9",1,61800,5,0.01,10,7410,8,30,3.1,23200,12900,290,29300,400,12,140,5,72,3580,10,18
"GJ23137","ESD8003","UNDERCOVER",356,360,"FILLET","24-Jul-2008","HATTO9",1,38400,5,0.01,10,3360,9,16,2.61,5200,7790,150,23100,380,14,27,5,33,1990,10,11
"GJ23138","ESD8003","UNDERCOVER",360,364,,"24-Jul-2008","HATTO9",1,52000,5,0.01,10,5700,9,16,2.77,4500,7960,130,34000,430,13,21,5,49,1890,10,12
"GJ23141","ESD8003","UNDERCOVER",364,368,"FILLET","24-Jul-2008","HATTO9",1,51200,5,0.01,10,6200,7,14,3.36,8000,11200,190,40300,460,13,31,5,50,1610,10,11
"GJ23142","ESD8003","UNDERCOVER",368,372,"FILLET","24-Jul-2008","HATTO9",1,47700,5,0.01,10,5990,7,20,2.73,8900,9310,180,29000,320,11,47,5,53,3130,10,12
"GJ23143","ESD8003","UNDERCOVER",372,376,"FILLET","24-Jul-2008","HATTO9",1,47000,5,0.01,10,16300,12,30,5.22,8000,15200,280,28600,520,11,43,5,59,2590,10,11
"GJ23144","ESD8003","UNDERCOVER",376,380,"FILLET","24-Jul-2008","HATTO9",1,59300,5,0.01,10,12200,14,28,5.24,12100,14300,250,34800,650,8,77,5,82,2580,10,13
"GJ23145","ESD8003","UNDERCOVER",380,384,"FILLET","24-Jul-2008","HATTO9",1,60100,5,0.01,10,5900,16,17,4.59,3400,8400,180,44800,600,7,11,5,42,900,10,12
"GJ23146","ESD8003","UNDERCOVER",384,388,"FILLET","24-Jul-2008","HATTO9",1,41500,5,0.01,10,4130,13,24,4.43,8500,9950,220,20500,500,12,59,5,32,2530,10,14
"GJ23147","ESD8003","UNDERCOVER",388,392,"FILLET","24-Jul-2008","HATTO9",1,61800,5,0.01,10,6930,9,18,4.35,7700,9620,250,36300,730,5,48,5,55,1530,10,14
