DocID,PageNum,LineNum,Text,SectionPrefix,SectionText,SectionPage,ProcessedText,Heading,TagMethod
10189,2,2,CONTENTS,,CONTENTS,,CONTENTS,0,auto
10189,2,3,Page,,Page,,Page,0,auto
10189,2,4,TABULATED DATA 	2,,TABULATED DATA ,cyfra1 ,TABULATED DATA cyfra1 ,1,auto
10189,2,5,THEORY AND METHOD 	16,,THEORY AND METHOD ,cyfra1 ,THEORY AND METHOD cyfra1 ,1,auto
10189,2,6,COMMENTS AND CONCLUSIONS 	26,,COMMENTS AND CONCLUSIONS ,cyfra1 ,COMMENTS AND CONCLUSIONS cyfra1 ,1,auto
10189,2,7,PLOTS OF DATA VERSUS DEPTH 	35,,PLOTS OF DATA VERSUS DEPTH ,cyfra1 ,PLOTS OF DATA VERSUS DEPTH cyfra1 ,2,auto
10189,2,8,n-ALKANE DISTRIBUTIONS 	46,,n-ALKANE DISTRIBUTIONS ,cyfra1 ,n-ALKANE DISTRIBUTIONS cyfra1 ,1,auto
10189,2,9,CAPILLARY GLC TRACES 	68,,CAPILLARY GLC TRACES ,cyfra1 ,CAPILLARY GLC TRACES cyfra1 ,1,auto
102109,3,1,CST MINERALS LADY ANNIE EXPLORATION PTY LTD 	EPM11920 ROUND MOUNT PROJECT ANNUAL REPORT,,CST MINERALS LADY ANNIE EXPLORATION PTY LTD 	EPM11920 ROUND MOUNT PROJECT ANNUAL REPORT,,CST MINERALS LADY ANNIE EXPLORATION PTY LTD 	EPM11920 ROUND MOUNT PROJECT ANNUAL REPORT,0,auto
102109,3,2,TABLE OF CONTENTS,,TABLE OF CONTENTS,,TABLE OF CONTENTS,0,auto
102109,3,3,1. 	SUMMARY 	2,cyfra1 punkt , 	SUMMARY ,cyfra1 ,cyfra1 punkt  	SUMMARY cyfra1 ,1,auto
102109,3,4,2. 	COMPANY OVERVIEW 	5,cyfra1 punkt , 	COMPANY OVERVIEW ,cyfra1 ,cyfra1 punkt  	COMPANY OVERVIEW cyfra1 ,1,auto
102109,3,5,3. 	LOCATION 	6,cyfra1 punkt , 	LOCATION ,cyfra1 ,cyfra1 punkt  	LOCATION cyfra1 ,1,auto
102109,3,6,4. 	TENURE 	8,cyfra1 punkt , 	TENURE ,cyfra1 ,cyfra1 punkt  	TENURE cyfra1 ,1,auto
102109,3,7,5. 	GEOLOGICAL SETTING 	10,cyfra1 punkt , 	GEOLOGICAL SETTING ,cyfra1 ,cyfra1 punkt  	GEOLOGICAL SETTING cyfra1 ,1,auto
102109,3,8,5.1. 	Regional Geology 	10,cyfra1 punkt cyfra2 punkt , 	Regional Geology ,cyfra1 ,cyfra1 punkt cyfra2 punkt  	Regional Geology cyfra1 ,2,auto
102109,3,9,5.2. 	Local Geology 	10,cyfra1 punkt cyfra2 punkt , 	Local Geology ,cyfra1 ,cyfra1 punkt cyfra2 punkt  	Local Geology cyfra1 ,2,auto
102109,3,10,5.3. 	Prospect Geology 	12,cyfra1 punkt cyfra2 punkt , 	Prospect Geology ,cyfra1 ,cyfra1 punkt cyfra2 punkt  	Prospect Geology cyfra1 ,2,auto
102109,3,11,6. 	HISTORIC EXPLORATION 	13,cyfra1 punkt , 	HISTORIC EXPLORATION ,cyfra1 ,cyfra1 punkt  	HISTORIC EXPLORATION cyfra1 ,1,auto
102109,3,12,7. 	CST EXPLORATION YEARS 1 - 5 (16/07/2010-15/07/2015) 	14,cyfra1 punkt , 	CST EXPLORATION YEARS 1 - 5 (16/07/2010-15/07/2015) ,cyfra1 ,cyfra1 punkt  	CST EXPLORATION YEARS 1 - 5 (16/07/2010-15/07/2015) cyfra1 ,1,auto
102109,3,13,8. 	CST EXPLORATION YEAR 6 (16/07/2015-15/07/2016) 	15,cyfra1 punkt , 	CST EXPLORATION YEAR 6 (16/07/2015-15/07/2016) ,cyfra1 ,cyfra1 punkt  	CST EXPLORATION YEAR 6 (16/07/2015-15/07/2016) cyfra1 ,1,auto
102109,3,14,8.1. 	'Uncover Cloncurry' Industry Collaboration with CSIRO - 2015-2016 	15,cyfra1 punkt cyfra2 punkt , 	'Uncover Cloncurry' Industry Collaboration with CSIRO - 2015-2016 ,cyfra1 ,cyfra1 punkt cyfra2 punkt  	'Uncover Cloncurry' Industry Collaboration with CSIRO - 2015-2016 cyfra1 ,2,auto
102109,3,15,9. 	CST EXPLORATION YEAR 7 (16/07/2016-15/07/2017) 	17,cyfra1 punkt , 	CST EXPLORATION YEAR 7 (16/07/2016-15/07/2017) ,cyfra1 ,cyfra1 punkt  	CST EXPLORATION YEAR 7 (16/07/2016-15/07/2017) cyfra1 ,1,auto
102109,3,16,9.1. 	'Uncover Cloncurry' Industry Collaboration with CSIRO - 2016-2017 	17,cyfra1 punkt cyfra2 punkt , 	'Uncover Cloncurry' Industry Collaboration with CSIRO - 2016-2017 ,cyfra1 ,cyfra1 punkt cyfra2 punkt  	'Uncover Cloncurry' Industry Collaboration with CSIRO - 2016-2017 cyfra1 ,2,auto
102109,3,17,10. 	CONCLUSION & RECOMMENDATIONS 	22,cyfra1 punkt , 	CONCLUSION & RECOMMENDATIONS ,cyfra1 ,cyfra1 punkt  	CONCLUSION & RECOMMENDATIONS cyfra1 ,1,auto
102109,3,18,11. 	PROPOSED EXPLORATION 	22,cyfra1 punkt , 	PROPOSED EXPLORATION ,cyfra1 ,cyfra1 punkt  	PROPOSED EXPLORATION cyfra1 ,1,auto
102109,3,19,12. 	STATEMENT OF COMPLIANCE 	23,cyfra1 punkt , 	STATEMENT OF COMPLIANCE ,cyfra1 ,cyfra1 punkt  	STATEMENT OF COMPLIANCE cyfra1 ,1,auto
102109,3,20,13. 	REFERENCES 	23,cyfra1 punkt , 	REFERENCES ,cyfra1 ,cyfra1 punkt  	REFERENCES cyfra1 ,1,auto
102109,3,21,14. APPENDICES 	24,cyfra1 punkt , APPENDICES ,cyfra1 ,cyfra1 punkt  APPENDICES cyfra1 ,1,auto
102109,3,22,14.1. APPENDIX A - Acknowledgement & Warranty 	24,cyfra1 punkt cyfra2 punkt , APPENDIX A - Acknowledgement & Warranty ,cyfra1 ,cyfra1 punkt cyfra2 punkt  APPENDIX A - Acknowledgement & Warranty cyfra1 ,2,auto
10232,2,1,CONTENTS,,CONTENTS,,CONTENTS,0,auto
10232,2,2,Page No.,,Page No.,,Page No.,0,auto
10232,2,3,1. 	INTRODUCTION 	1,cyfra1 punkt , 	INTRODUCTION ,cyfra1 ,cyfra1 punkt  	INTRODUCTION cyfra1 ,1,auto
10232,2,4,1.1 	Title and Location,cyfra1 punkt cyfra2 , 	Title and Location,,cyfra1 punkt cyfra2  	Title and Location,2,auto
10232,2,5,1.2 	Exploration Objectives,cyfra1 punkt cyfra2 , 	Exploration Objectives,,cyfra1 punkt cyfra2  	Exploration Objectives,2,auto
10232,2,6,1.3 	Previous Investigations,cyfra1 punkt cyfra2 , 	Previous Investigations,,cyfra1 punkt cyfra2  	Previous Investigations,2,auto
10232,2,7,2. 	GEOLOGICAL SETTING 	1,cyfra1 punkt , 	GEOLOGICAL SETTING ,cyfra1 ,cyfra1 punkt  	GEOLOGICAL SETTING cyfra1 ,1,auto
10232,2,8,2.1 	Regional Geology,cyfra1 punkt cyfra2 , 	Regional Geology,,cyfra1 punkt cyfra2  	Regional Geology,2,auto
10232,2,9,2.2 	Local Geology,cyfra1 punkt cyfra2 , 	Local Geology,,cyfra1 punkt cyfra2  	Local Geology,2,auto
10232,2,10,2.2.1 	Allaru Mudstone,cyfra1 punkt cyfra2 punkt cyfra3 , 	Allaru Mudstone,,cyfra1 punkt cyfra2 punkt cyfra3  	Allaru Mudstone,2,auto
10232,2,11,2.2.2 	Toolebuc Formation,cyfra1 punkt cyfra2 punkt cyfra3 , 	Toolebuc Formation,,cyfra1 punkt cyfra2 punkt cyfra3  	Toolebuc Formation,2,auto
10232,2,12,2.2.3 	Wallumbilla Formation,cyfra1 punkt cyfra2 punkt cyfra3 , 	Wallumbilla Formation,,cyfra1 punkt cyfra2 punkt cyfra3  	Wallumbilla Formation,2,auto
10232,2,13,2.3 Structure,cyfra1 punkt cyfra2 , Structure,,cyfra1 punkt cyfra2  Structure,2,auto
10232,2,14,3. 	EXPLORATION PROGRAMME 	3,cyfra1 punkt , 	EXPLORATION PROGRAMME ,cyfra1 ,cyfra1 punkt  	EXPLORATION PROGRAMME cyfra1 ,1,auto
10232,2,15,3.1 Planning,cyfra1 punkt cyfra2 , Planning,,cyfra1 punkt cyfra2  Planning,1,auto
10232,2,16,4. 	EXPENDITURE 	4+,cyfra1 punkt , 	EXPENDITURE 	4+,,cyfra1 punkt  	EXPENDITURE 	4+,1,auto
10232,2,17,FIGURES,,FIGURES,,FIGURES,0,auto
10232,2,18,"1. 	A'S to P. 2880M - 2885M, Millungera Qld. Location Map.",cyfra1 punkt ," 	A'S to P. 2880M - 2885M, Millungera Qld. Location Map.",,"cyfra1 punkt  	A'S to P. 2880M - 2885M, Millungera Qld. Location Map.",0,auto
103455,2,1,Table of Contents,,Table of Contents,,Table of Contents,0,auto
103455,2,2,1. 	Overview 	1,cyfra1 punkt , 	Overview ,cyfra1 ,cyfra1 punkt  	Overview cyfra1 ,1,auto
103455,2,3,2. 	Location and Access 	1,cyfra1 punkt , 	Location and Access ,cyfra1 ,cyfra1 punkt  	Location and Access cyfra1 ,1,auto
103455,2,4,3. 	Tenure 	2,cyfra1 punkt , 	Tenure ,cyfra1 ,cyfra1 punkt  	Tenure cyfra1 ,1,auto
103455,2,5,4. 	Geology 	2,cyfra1 punkt , 	Geology ,cyfra1 ,cyfra1 punkt  	Geology cyfra1 ,1,auto
103455,2,6,4.1 	Regional Geology 	2,cyfra1 punkt cyfra2 , 	Regional Geology ,cyfra1 ,cyfra1 punkt cyfra2  	Regional Geology cyfra1 ,2,auto
103455,2,7,4.2 	Tenement Geology 	4,cyfra1 punkt cyfra2 , 	Tenement Geology ,cyfra1 ,cyfra1 punkt cyfra2  	Tenement Geology cyfra1 ,2,auto
103455,2,8,5. 	Previous Explorations 	5,cyfra1 punkt , 	Previous Explorations ,cyfra1 ,cyfra1 punkt  	Previous Explorations cyfra1 ,1,auto
103455,2,9,6. 	Exploration Work and Results 	6,cyfra1 punkt , 	Exploration Work and Results ,cyfra1 ,cyfra1 punkt  	Exploration Work and Results cyfra1 ,1,auto
105472,2,1,Contents,,Contents,,Contents,0,auto
105472,2,2,1 	SUMMARY 	3,cyfra1 , 	SUMMARY ,cyfra1 ,cyfra1  	SUMMARY cyfra1 ,1,auto
