DocID,PageNum,LineNum,SectionPrefix,SectionText,SectionPage,Heading,TagMethod,LineText
10189,2,2,,CONTENTS,,,,CONTENTS
10189,2,3,,Page,,,,Page
10189,2,4,,TABULATED DATA ,cyfra1 ,,,TABULATED DATA cyfra1 
10189,2,5,,THEORY AND METHOD ,cyfra1 ,,,THEORY AND METHOD cyfra1 
10189,2,6,,COMMENTS AND CONCLUSIONS ,cyfra1 ,,,COMMENTS AND CONCLUSIONS cyfra1 
10189,2,7,,PLOTS OF DATA VERSUS DEPTH ,cyfra1 ,,,PLOTS OF DATA VERSUS DEPTH cyfra1 
10189,2,8,,n-ALKANE DISTRIBUTIONS ,cyfra1 ,,,n-ALKANE DISTRIBUTIONS cyfra1 
10189,2,9,,CAPILLARY GLC TRACES ,cyfra1 ,,,CAPILLARY GLC TRACES cyfra1 
102109,3,1,,CST MINERALS LADY ANNIE EXPLORATION PTY LTD 	EPM11920 ROUND MOUNT PROJECT ANNUAL REPORT,,,,CST MINERALS LADY ANNIE EXPLORATION PTY LTD 	EPM11920 ROUND MOUNT PROJECT ANNUAL REPORT
102109,3,2,,TABLE OF CONTENTS,,,,TABLE OF CONTENTS
102109,3,3,cyfra1 punkt , 	SUMMARY ,cyfra1 ,,,cyfra1 punkt  	SUMMARY cyfra1 
102109,3,4,cyfra1 punkt , 	COMPANY OVERVIEW ,cyfra1 ,,,cyfra1 punkt  	COMPANY OVERVIEW cyfra1 
102109,3,5,cyfra1 punkt , 	LOCATION ,cyfra1 ,,,cyfra1 punkt  	LOCATION cyfra1 
102109,3,6,cyfra1 punkt , 	TENURE ,cyfra1 ,,,cyfra1 punkt  	TENURE cyfra1 
102109,3,7,cyfra1 punkt , 	GEOLOGICAL SETTING ,cyfra1 ,,,cyfra1 punkt  	GEOLOGICAL SETTING cyfra1 
102109,3,8,cyfra1 punkt cyfra2 punkt , 	Regional Geology ,cyfra1 ,,,cyfra1 punkt cyfra2 punkt  	Regional Geology cyfra1 
102109,3,9,cyfra1 punkt cyfra2 punkt , 	Local Geology ,cyfra1 ,,,cyfra1 punkt cyfra2 punkt  	Local Geology cyfra1 
102109,3,10,cyfra1 punkt cyfra2 punkt , 	Prospect Geology ,cyfra1 ,,,cyfra1 punkt cyfra2 punkt  	Prospect Geology cyfra1 
102109,3,11,cyfra1 punkt , 	HISTORIC EXPLORATION ,cyfra1 ,,,cyfra1 punkt  	HISTORIC EXPLORATION cyfra1 
102109,3,12,cyfra1 punkt , 	CST EXPLORATION YEARS 1 - 5 (16/07/2010-15/07/2015) ,cyfra1 ,,,cyfra1 punkt  	CST EXPLORATION YEARS 1 - 5 (16/07/2010-15/07/2015) cyfra1 
102109,3,13,cyfra1 punkt , 	CST EXPLORATION YEAR 6 (16/07/2015-15/07/2016) ,cyfra1 ,,,cyfra1 punkt  	CST EXPLORATION YEAR 6 (16/07/2015-15/07/2016) cyfra1 
102109,3,14,cyfra1 punkt cyfra2 punkt , 	'Uncover Cloncurry' Industry Collaboration with CSIRO - 2015-2016 ,cyfra1 ,,,cyfra1 punkt cyfra2 punkt  	'Uncover Cloncurry' Industry Collaboration with CSIRO - 2015-2016 cyfra1 
102109,3,15,cyfra1 punkt , 	CST EXPLORATION YEAR 7 (16/07/2016-15/07/2017) ,cyfra1 ,,,cyfra1 punkt  	CST EXPLORATION YEAR 7 (16/07/2016-15/07/2017) cyfra1 
102109,3,16,cyfra1 punkt cyfra2 punkt , 	'Uncover Cloncurry' Industry Collaboration with CSIRO - 2016-2017 ,cyfra1 ,,,cyfra1 punkt cyfra2 punkt  	'Uncover Cloncurry' Industry Collaboration with CSIRO - 2016-2017 cyfra1 
102109,3,17,cyfra1 punkt , 	CONCLUSION & RECOMMENDATIONS ,cyfra1 ,,,cyfra1 punkt  	CONCLUSION & RECOMMENDATIONS cyfra1 
102109,3,18,cyfra1 punkt , 	PROPOSED EXPLORATION ,cyfra1 ,,,cyfra1 punkt  	PROPOSED EXPLORATION cyfra1 
102109,3,19,cyfra1 punkt , 	STATEMENT OF COMPLIANCE ,cyfra1 ,,,cyfra1 punkt  	STATEMENT OF COMPLIANCE cyfra1 
102109,3,20,cyfra1 punkt , 	REFERENCES ,cyfra1 ,,,cyfra1 punkt  	REFERENCES cyfra1 
102109,3,21,cyfra1 punkt , APPENDICES ,cyfra1 ,,,cyfra1 punkt  APPENDICES cyfra1 
102109,3,22,cyfra1 punkt cyfra2 punkt , APPENDIX A - Acknowledgement & Warranty ,cyfra1 ,,,cyfra1 punkt cyfra2 punkt  APPENDIX A - Acknowledgement & Warranty cyfra1 
10232,2,1,,CONTENTS,,,,CONTENTS
10232,2,2,,Page No.,,,,Page No.
10232,2,3,cyfra1 punkt , 	INTRODUCTION ,cyfra1 ,,,cyfra1 punkt  	INTRODUCTION cyfra1 
10232,2,4,cyfra1 punkt cyfra2 , 	Title and Location,,,,cyfra1 punkt cyfra2  	Title and Location
10232,2,5,cyfra1 punkt cyfra2 , 	Exploration Objectives,,,,cyfra1 punkt cyfra2  	Exploration Objectives
10232,2,6,cyfra1 punkt cyfra2 , 	Previous Investigations,,,,cyfra1 punkt cyfra2  	Previous Investigations
10232,2,7,cyfra1 punkt , 	GEOLOGICAL SETTING ,cyfra1 ,,,cyfra1 punkt  	GEOLOGICAL SETTING cyfra1 
10232,2,8,cyfra1 punkt cyfra2 , 	Regional Geology,,,,cyfra1 punkt cyfra2  	Regional Geology
10232,2,9,cyfra1 punkt cyfra2 , 	Local Geology,,,,cyfra1 punkt cyfra2  	Local Geology
10232,2,10,cyfra1 punkt cyfra2 punkt cyfra3 , 	Allaru Mudstone,,,,cyfra1 punkt cyfra2 punkt cyfra3  	Allaru Mudstone
10232,2,11,cyfra1 punkt cyfra2 punkt cyfra3 , 	Toolebuc Formation,,,,cyfra1 punkt cyfra2 punkt cyfra3  	Toolebuc Formation
10232,2,12,cyfra1 punkt cyfra2 punkt cyfra3 , 	Wallumbilla Formation,,,,cyfra1 punkt cyfra2 punkt cyfra3  	Wallumbilla Formation
10232,2,13,cyfra1 punkt cyfra2 , Structure,,,,cyfra1 punkt cyfra2  Structure
10232,2,14,cyfra1 punkt , 	EXPLORATION PROGRAMME ,cyfra1 ,,,cyfra1 punkt  	EXPLORATION PROGRAMME cyfra1 
10232,2,15,cyfra1 punkt cyfra2 , Planning,,,,cyfra1 punkt cyfra2  Planning
10232,2,16,cyfra1 punkt , 	EXPENDITURE 	4+,,,,cyfra1 punkt  	EXPENDITURE 	4+
10232,2,17,,FIGURES,,,,FIGURES
10232,2,18,cyfra1 punkt ," 	A'S to P. 2880M - 2885M, Millungera Qld. Location Map.",,,,"cyfra1 punkt  	A'S to P. 2880M - 2885M, Millungera Qld. Location Map."
103455,2,1,,Table of Contents,,,,Table of Contents
103455,2,2,cyfra1 punkt , 	Overview ,cyfra1 ,,,cyfra1 punkt  	Overview cyfra1 
103455,2,3,cyfra1 punkt , 	Location and Access ,cyfra1 ,,,cyfra1 punkt  	Location and Access cyfra1 
103455,2,4,cyfra1 punkt , 	Tenure ,cyfra1 ,,,cyfra1 punkt  	Tenure cyfra1 
103455,2,5,cyfra1 punkt , 	Geology ,cyfra1 ,,,cyfra1 punkt  	Geology cyfra1 
103455,2,6,cyfra1 punkt cyfra2 , 	Regional Geology ,cyfra1 ,,,cyfra1 punkt cyfra2  	Regional Geology cyfra1 
103455,2,7,cyfra1 punkt cyfra2 , 	Tenement Geology ,cyfra1 ,,,cyfra1 punkt cyfra2  	Tenement Geology cyfra1 
