DocID,PageNum,LineNum,NormedLineNum,Text,Words2Width,WordsWidth,Width,Height,Left,Top,ContainsNum,Centrality,WordCount,HeadingClass
44387,5,20,0.703703704,5. CONCLUSION,1,0.159572259,0.159572259,0.014955075,0.154434279,0.551927447,1,0.445541269,2,Conclusion
68861,6,4,0.375,5. CONCLUSION,1,0.16026099,0.16026099,0.012097088,0.106544569,0.158514798,1,0.346353968,2,Conclusion
37838,6,15,0.666666667,5. CONCLUSIONS,1,0.184380114,0.184380114,0.013630187,0.142272174,0.417006165,1,0.446045752,2,Conclusion
27958,7,4,0.375,4. CONCLUSION,1,0.187997475,0.187997475,0.011865026,0.112712845,0.168747276,1,0.388153397,2,Conclusion
56628,7,36,0.833333333,"5. 	CONCLUSION",0.757872906,0.139393369,0.183927104,0.013886368,0.150925443,0.735073507,1,0.463625347,2,Conclusion
57048,7,37,0.947368421,"5. 	CONCLUSION",0.70021767,0.140074228,0.200043835,0.013137661,0.13548483,0.745733261,1,0.448224781,2,Conclusion
24362,7,17,0.842105263,5. CONCLUSIONS,1,0.171701148,0.171701148,0.01127803,0.122843459,0.428797543,1,0.39228911,2,Conclusion
26168,8,10,0.642857143,"4. 	CONCLUSIONS",0.76438515,0.164105933,0.214690112,0.011796254,0.118623219,0.324824929,1,0.428325982,2,Conclusion
31069,8,20,0.904761905,"5. 	CONCLUSIONS",0.783991544,0.164572494,0.20991616,0.012260999,0.146821544,0.506560177,1,0.482172642,2,Conclusion
63707,8,1,0,5. CONCLUSION,1,0.16065751,0.16065751,0.010736672,0.184383228,0.085263558,1,0.509151643,2,Conclusion
30392,8,5,0.5,"6. 	CONCLUSIONS",0.785060539,0.167325022,0.213136457,0.012914909,0.094973378,0.141111195,1,0.377367987,2,Conclusion
31356,8,16,0.9375,"6. 	CONCLUSIONS",0.78055921,0.164137347,0.210281737,0.014100034,0.111314006,0.370714277,1,0.408479485,2,Conclusion
29850,9,17,0.8,"4. 	CONCLUSIONS",0.786723933,0.164028972,0.208496228,0.011607543,0.156665727,0.421993107,1,0.501228103,2,Conclusion
30540,9,28,0.771428571,"5. 	CONCLUSION",0.771165611,0.154362665,0.200167984,0.011539982,0.119255647,0.667130977,1,0.414497571,2,Conclusion
33054,9,24,0.821428571,"5. 	CONCLUSIONS",0.743869113,0.165604062,0.22262527,0.011848317,0.118757844,0.593764454,1,0.436883845,2,Conclusion
