original,transformed,tag
6,smallNum ,1
1,smallNum ,1
5,smallNum ,1
4,smallNum ,1
3,smallNum ,1
1,smallNum ,1
2,smallNum ,1
2,smallNum ,1
6,smallNum ,1
7,smallNum ,1
4,smallNum ,1
5,smallNum ,1
3,smallNum ,1
2,smallNum ,1
Page 1 of 1,page smallNum word smallNum ,1
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"Mineral Exploration, BHP Billiton 	September 2008",word word word word tab month bigNum ,0
"BHP Burton No. 1 Completion Report 	Page No. 4",word word word smallNum word word tab page word smallNum ,1
EPC1163 Tartarus 12 Monthly Report - Year 1 Appendix 2,mix word smallNum word word word smallNum word smallNum ,0
"BHP Burton No. 1 Completion Report 	Page No. 1",word word word smallNum word word tab page word smallNum ,1
EPC1163 Tartarus 12 Monthly Report - Year 1 Appendix 1,mix word smallNum word word word smallNum word smallNum ,0
"BHP Burton No. 1 Completion Report 	Page No. 3",word word word smallNum word word tab page word smallNum ,1
"CR 10980 	Page 2",word bigNum tab page smallNum ,1
"CR 10980 	Page 1",word bigNum tab page smallNum ,1
"BHP Burton No. 1 Completion Report 	Page No. 2",word word word smallNum word word tab page word smallNum ,1
"CR 10980 	Page 4",word bigNum tab page smallNum ,1
"CR 10861 	Page 1",word bigNum tab page smallNum ,1
"CR 10980 	Page 3",word bigNum tab page smallNum ,1
4,smallNum ,1
"EPC1163 Tartarus 12 Monthly Report - Year 1 	Appendix 4",mix word smallNum word word word smallNum tab word smallNum ,0
"APRIL, 2009 	16",month bigNum tab smallNum ,1
"APRIL, 2009 	20",month bigNum tab smallNum ,1
"APRIL, 2009 	10",month bigNum tab smallNum ,1
"APRIL, 2009 	26",month bigNum tab smallNum ,1
"APRIL, 2009 	24",month bigNum tab smallNum ,1
"APRIL, 2009 	28",month bigNum tab smallNum ,1
"APRIL, 2009 	27",month bigNum tab smallNum ,1
"APRIL, 2009 	23",month bigNum tab smallNum ,1
"APRIL, 2009 	12",month bigNum tab smallNum ,1
"APRIL, 2009 	17",month bigNum tab smallNum ,1
"APRIL, 2009 	22",month bigNum tab smallNum ,1
"APRIL, 2009 	9",month bigNum tab smallNum ,1
"EPC1163 Tartarus 12 Monthly Report - Year 1 	I 	Appendix 3",mix word smallNum word word word smallNum tab word tab word smallNum ,0
"APRIL, 2009 	19",month bigNum tab smallNum ,1
"APRIL, 2009 	4",month bigNum tab smallNum ,1
"APRIL, 2009 	29",month bigNum tab smallNum ,1
"APRIL, 2009 	7",month bigNum tab smallNum ,1
"APRIL, 2009 	25",month bigNum tab smallNum ,1
"APRIL, 2009 	30",month bigNum tab smallNum ,1
"APRIL, 2009 	8",month bigNum tab smallNum ,1
"APRIL, 2009 	18",month bigNum tab smallNum ,1
"APRIL, 2009 	5",month bigNum tab smallNum ,1
"APRIL, 2009 	11",month bigNum tab smallNum ,1
"APRIL, 2009 	15",month bigNum tab smallNum ,1
"APRIL, 2009 	6",month bigNum tab smallNum ,1
EPC1163 Tartarus 12 Monthly Report - Year 1 Appendix 2,mix word smallNum word word word smallNum word smallNum ,0
"APRIL, 2009 	2",month bigNum tab smallNum ,1
"APRIL, 2009 	21",month bigNum tab smallNum ,1
"APRIL, 2009 	14",month bigNum tab smallNum ,1
"APRIL, 2009 	3",month bigNum tab smallNum ,1
EPC1163 Tartarus 12 Monthly Report - Year 1 Appendix 2,mix word smallNum word word word smallNum word smallNum ,0
EPC1163 Tartarus 12 Monthly Report - Year 1 Appendix 1,mix word smallNum word word word smallNum word smallNum ,0
"APRIL, 2009 	31",month bigNum tab smallNum ,1
"APRIL, 2009 	13",month bigNum tab smallNum ,1
"South Cockenzie Final Report 	(i)",word word word word tab word ,0
Page 9,page smallNum ,1
Page 8,page smallNum ,1
"South Cockenzie Final Report 	(11)",word word word word tab smallNum ,1
"South Cockenzie Final Report 	(3)",word word word word tab smallNum ,1
"South Cockenzie Final Report 	(7)",word word word word tab smallNum ,1
"South Cockenzie Final Report 	(9)",word word word word tab smallNum ,1
"South Cockenzie Final Report 	(5)",word word word word tab smallNum ,1
"South Cockenzie Final Report 	(12)",word word word word tab smallNum ,1
"South Cockenzie Final Report 	(17)",word word word word tab smallNum ,1
"South Cockenzie Final Report 	(15)",word word word word tab smallNum ,1
"South Cockenzie Final Report 	(4)",word word word word tab smallNum ,1
"South Cockenzie Final Report 	(10)",word word word word tab smallNum ,1
"South Cockenzie Final Report 	(13)",word word word word tab smallNum ,1
"South Cockenzie Final Report 	(1)",word word word word tab smallNum ,1
"South Cockenzie Final Report 	(14)",word word word word tab smallNum ,1
"South Cockenzie Final Report 	(22)",word word word word tab smallNum ,1
"South Cockenzie Final Report 	(21)",word word word word tab smallNum ,1
"South Cockenzie Final Report 	(6)",word word word word tab smallNum ,1
"South Cockenzie Final Report 	(18)",word word word word tab smallNum ,1
"South Cockenzie Final Report 	(23)",word word word word tab smallNum ,1
"South Cockenzie Final Report 	(20)",word word word word tab smallNum ,1
"South Cockenzie Final Report 	(24)",word word word word tab smallNum ,1
"South Cockenzie Final Report 	(8)",word word word word tab smallNum ,1
2,smallNum ,1
"South Cockenzie Final Report 	(19)",word word word word tab smallNum ,1
"South Cockenzie Final Report 	(ii)",word word word word tab word ,0
"South Cockenzie Final Report 	(2)",word word word word tab smallNum ,1
"South Cockenzie Final Report 	(16)",word word word word tab smallNum ,1
"CR 11052 	Page 4",word bigNum tab page smallNum ,1
"CR 11052 	Page 2",word bigNum tab page smallNum ,1
