DocID,LineNum,LineText,HeadingType
21838,0,TABLE OF CONTENTS,None
21838,1,Page,None
21838,3,INTRODUCTION,Intro
21838,6,TENEMENT HISTORY,None
21838,8, Authority to Prospect M,None
21838,10,Stockman Creek,None
21838,11, Authority to Prospect M,None
21838,13,Einasleigh,None
21838,15,WORK CONDUCTED,Work
21838,18,GEOPHYSICS,None
21838,20, Introduction,None
21838,22, Railway Flats and Coolaba Flats,None
21838,24,Moving Loop,None
21838,25, Coolaba Flats Fixed Loop,None
21838,27, Railway Flats Fixed LOOP SIROTEM,None
21838,29, Stockman Creek Fixed LOOP SIROTEM,None
21838,32,CONCLUSIONS AND RECOMMENDATIONS,None
21838,35,REFERENCES,None
21838,37,APPENDIX I,None
21838,38,SIROTEM Profiles,None
22701,0,CONTENTS,None
22701,1,SUMMARY,Summ
22701,3,INTRODUCTION,Intro
22701,5,TITLES,None
22701,7,PREVIOUS EXPLORATION,None
22701,9,GEOLOGY,None
22701,11,EXPLORATION FOR THE PERIOD ENDED TH MAY ,None
22701,13,DRILLING RESULTS,None
22701,15,DISCUSSION OF DRILLING RESULTS,None
22701,17,CONCLUSIONS RECOMMENDATIONS AND PROPOSED WORK,Work
22701,19,EXPENDITURE,None
23543,0,TABLE OF CONTENTS,None
23543,1,PAGE,None
23543,3,INTRODUCTION,Intro
23543,5,TENEMENT DETAILS,None
23543,7,PREVIOUS WORK AND LITERATURE REVIEW,Work
23543,9,GEOLOGY AND GEOPHYSICS,None
23543,10, RECOMMENDATIONS,None
23543,11,FIGURES,None
23543,12,DRAWING NO,None
23543,13,FIGURE  LOCATION MAP EPM ,None
23543,14,A,None
23543,15,FIGURE  GROUND MAGNETIC TRAVESE LOCATIONS,None
23543,16,A,None
23543,17,APPENDICES,None
23543,18,APPENDIX ,None
23543,19,GROUND MAGNETIC PROFILES,None
24362,0,TABLE OF CONTENTS,None
24362,1,SUMMARY,Summ
24362,2,T,None
24362,3, INTRODUCTION,Intro
24362,5,T,None
24362,6, TENEMENT DETAILS,None
24362,8,T,None
24362,9, PREVIOUS WORK,Work
24362,11,IT,None
24362,12, WORK CONDUCTED,Work
24362,14,T,None
24362,15, CONCLUSIONS,None
24362,17,APPENDICES,None
24362,18,T,None
24362,19,T,None
24362,21,AEROMAGNETIC SURVEY DETAILS,None
24362,22,T,None
24362,23,LIST OF FIGURES,None
24362,24,T,None
24362,25,I,None
24362,26,Drawing No,None
24362,27,Scale,None
24362,28,T,None
24362,29, Location Map EPM  ,None
24362,30,AC  ,None
24362,31,Longford Relinquishment Area,None
24362,32,I,None
24362,33,LIST OF PLATES,None
24362,34,T,None
24362,36,Aeromagnetic Contours for,None
24362,37,A  ,None
24362,38,area relinquished,None
24362,39,T,None
24362,40,II,None
25551,0,TABLE OF CONTENTS,None
