DocID,PageNum,MedConfidence,AvgConfidence,RangeConfidence,IQRConfidence,MedLineLen,ContainsFigWord,ContainsFigLn,FigPos,FigPage
21838,1,98.8070755,97.77790705,7.45602417,2.053268433,20,0,0,-1,0
21838,2,99.1557312,96.87232218,20.45445824,1.679905891,19,0,0,-1,0
21838,3,99.46686363,99.15422732,3.766334534,0.579257965,19,0,0,-1,0
21838,4,99.4549408,99.21382281,2.75881958,0.514592489,33,1,1,0.903225806,0
21838,5,99.0962944,98.32342775,11.67286682,1.091095924,54,1,1,0.285714286,0
21838,6,84.19699478,79.1454628,88.82806301,21.8179369,12,1,0,0.941176471,1
21838,7,99.28800201,94.47703918,32.35062408,9.056423187,35,1,1,0.88,0
21838,8,99.45005035,98.26685295,7.154514313,1.807600021,13,0,0,-1,0
21838,9,99.26897049,98.84336217,3.693252563,1.264511108,53,0,0,-1,0
21838,10,99.47955322,98.88976696,8.152324677,0.889953613,55,1,1,0.896551724,0
21838,11,71.49916077,63.6760306,79.21406937,39.11345673,5,0,0,-1,1
21838,12,99.21292114,98.61912311,6.114509583,1.882720947,45,0,0,-1,0
21838,13,99.72977257,98.03661831,23.16832733,2.03868103,21,0,0,-1,0
21838,14,99.38180542,98.88578747,4.654533386,1.450868607,24,0,0,-1,0
21838,15,99.68375397,99.12179927,3.77318573,0.778995514,56,1,0,0.263157895,0
21838,16,92.13439178,84.19366614,85.6193552,18.2983551,12,1,1,0.977777778,1
21838,17,99.49264526,98.40774126,19.84282684,1.480335236,29,0,0,-1,0
21838,18,98.91870499,98.72289188,5.253364563,1.080932617,55,1,1,0.384615385,0
21838,19,92.56482887,90.12797011,29.98346837,10.99914169,17.5,1,1,0.964285714,1
21838,20,98.36639595,97.85011681,8.90827179,2.258761406,24.5,0,0,-1,0
21838,21,99.31410599,99.05856988,6.580108643,0.694355011,55.5,1,1,0.5,0
21838,22,91.88919067,87.11819341,65.58934784,14.71252441,12,1,1,0.955555556,1
21838,23,99.28400421,98.1699798,13.08455276,1.449663162,28,0,0,-1,0
21838,24,99.27083588,99.0733764,2.664405823,1.303043365,56,0,0,-1,0
21838,25,99.71939087,96.06767654,21.80320358,3.517437935,45.5,0,0,-1,0
22701,1,99.66407013,95.47376862,28.61903381,3.021440506,19.5,0,0,-1,0
22701,2,99.78843689,99.15871429,3.834381104,0.605510712,81.5,0,0,-1,0
22701,3,99.87068939,98.87121964,9.701469421,0.172922134,16,0,0,-1,0
22701,4,99.78979492,99.42814908,6.577766418,0.255929629,39,1,1,0.727272727,0
22701,5,96.72806549,89.62007902,75.90699387,9.447472254,9,1,1,0.948717949,1
22701,6,99.67706108,97.57651552,39.93448639,0.845258713,74,1,1,0.083333333,0
22701,7,99.76677322,99.60119152,2.117931366,0.353171349,74,1,1,0.291666667,0
22701,8,96.51586151,91.05508004,72.09203148,9.911327362,11,1,1,0.948717949,1
22701,9,99.52829819,98.20097551,11.89646301,1.412903404,20,0,0,-1,0
22701,10,99.76876068,99.24038668,7.016563416,0.273750305,76,1,1,0.37037037,0
22701,11,97.90707016,92.38199073,41.96616936,11.5217495,3,1,1,0.923076923,1
22701,12,99.49064255,99.30267187,5.643051147,0.580872536,75.5,1,1,0.769230769,0
22701,13,99.59031677,99.56204804,1.438240051,0.382440567,31,0,0,-1,0
22701,14,99.70845795,98.51754583,12.13821793,0.563972473,25,0,0,-1,0
23543,1,99.22922516,92.93593805,37.11837006,7.684604645,11,0,0,-1,0
23543,2,99.56561279,98.73437818,8.34262085,0.656511307,13.5,0,0,-1,0
23543,3,96.67632294,91.78860387,89.92809105,10.47751331,11.5,1,0,0.96875,1
23543,4,99.71025085,99.51478958,2.495567322,0.646507263,16,1,1,0.764705882,0
23543,5,99.49975586,97.01991018,14.22917557,5.51862812,48,1,1,0.928571429,0
23543,6,91.66627312,84.58698121,89.06565666,11.76665211,9,1,1,0.970588235,1
23543,7,99.73622894,99.13048269,4.675750732,0.705841064,35,1,1,0.529411765,0
24362,1,96.20320129,90.07434781,45.91997528,8.328395844,11,0,0,-1,0
24362,2,99.80057526,99.29193709,2.259613037,1.059593201,20,0,0,-1,0
24362,3,99.74388123,99.26570328,5.938159943,0.436302185,18,1,0,0.5625,0
24362,4,98.85386276,93.36487341,42.93607712,2.96591568,50,0,0,-1,0
24362,5,99.0565033,96.66739608,13.67275238,4.313245773,37,1,1,0.394736842,0
24362,6,93.22528839,89.60864069,42.85944875,12.28299967,18,1,0,0.948717949,1
24362,7,99.77800369,98.86751811,11.10549927,0.268098831,50.5,0,0,-1,0
25551,1,84.62052917,79.38282013,77.451931,28.68073273,12.5,0,0,-1,0
25551,2,99.90415001,88.38161778,67.72234726,2.259056091,14,0,0,-1,0
25551,3,99.84865952,97.52008152,26.22621918,0.618724823,21.5,0,0,-1,0
25551,4,99.81015778,98.57497869,9.486431122,0.977534294,35,1,1,0.214285714,0
26114,1,71.99190521,69.46621528,46.24681473,11.72251892,11,0,0,-1,0
26114,2,99.50269318,97.52471842,17.27020264,2.956922531,13,0,0,-1,0
26114,3,99.76771037,95.762167,35.4381485,1.728738149,19,0,0,-1,0
