DocID,LineNum,SectionPrefix,SectionText,SectionPage,Heading
21838,0,,TABLE OF CONTENTS,,0
21838,1,,Page,,0
21838,2,1., 	INTRODUCTION ,	1,1
21838,3,2., 	TENEMENT HISTORY ,	2,1
21838,4,2.1, Authority to Prospect 5899M ,	2,2
21838,5,,"""Stockman Creek""",,0
21838,6,2.2, Authority to Prospect 6050M ,	2,2
21838,7,,"""Einasleigh""",,0
21838,8,3., 	WORK CONDUCTED ,	4,1
21838,9,4., 	GEOPHYSICS ,	5,1
21838,10,4.1, Introduction ,	5,2
21838,11,4.2, Railway Flats and Coolaba Flats ,	5,2
21838,12,,Moving Loop,,0
21838,13,4.3, Coolaba Flats Fixed Loop ,	9,2
21838,14,4.4, Railway Flats Fixed LOOP SIROTEM ,	11,2
21838,15,4.5, Stockman Creek Fixed LOOP SIROTEM ,	13,2
21838,16,5., 	CONCLUSIONS AND RECOMMENDATIONS ,	15,1
21838,17,6., 	REFERENCES ,	16,1
21838,18,,APPENDIX I,,0
21838,19,,SIROTEM Profiles,,0
22701,0,,CONTENTS,,0
22701,1,,SUMMARY,,1
22701,2,1., 	INTRODUCTION,,1
22701,3,2., 	TITLES,,1
22701,4,3., 	PREVIOUS EXPLORATION,,1
22701,5,4., 	GEOLOGY,,1
22701,6,5., 	EXPLORATION FOR THE PERIOD ENDED 25TH MAY 1991,,1
22701,7,5.1, 	DRILLING RESULTS,,2
22701,8,5.2, 	DISCUSSION OF DRILLING RESULTS,,2
22701,9,6.," 	CONCLUSIONS, RECOMMENDATIONS AND PROPOSED WORK",,1
22701,10,7., 	EXPENDITURE,,1
23543,0,,TABLE OF CONTENTS,,0
23543,1,,PAGE,,0
23543,2,1., 	INTRODUCTION,,1
23543,3,2., 	TENEMENT DETAILS,,1
23543,5,,PREVIOUS WORK AND LITERATURE REVIEW,,1
23543,7,,GEOLOGY AND GEOPHYSICS,,1
23543,8,5., RECOMMENDATIONS,,1
23543,9,,FIGURES,,0
23543,10,,DRAWING NO,,0
23543,11,,"FIGURE 1 LOCATION MAP, EPM 7777",,0
23543,12,,A4-1311,,0
23543,13,,FIGURE 2 GROUND MAGNETIC TRAVESE LOCATIONS 	A4-1370,,0
23543,14,,APPENDICES,,0
23543,15,,APPENDIX 1,,0
23543,16,,GROUND MAGNETIC PROFILES,,0
24362,0,,TABLE OF CONTENTS,,0
24362,1,,SUMMARY,,1
24362,2,1., INTRODUCTION ,	1,1
24362,3,2., TENEMENT DETAILS ,	1,1
24362,4,3., PREVIOUS WORK ,	2,1
24362,5,4., WORK CONDUCTED ,	2,1
24362,6,5., CONCLUSIONS ,	2,1
24362,7,,APPENDICES,,0
24362,8,1., 	AEROMAGNETIC SURVEY DETAILS,,0
24362,9,,LIST OF FIGURES,,0
24362,10,,Drawing No. 	Scale,,0
24362,11,1., Location Map EPM 7786 - 	A4-1223C 1:1000 000,,0
24362,12,,Longford Relinquishment Area,,0
24362,13,,LIST OF PLATES,,0
24362,14,1., 	Aeromagnetic Contours for 	A1-1412 1:100 000,,0
24362,15,,area relinquished.,,0
25551,0,,TABLE OF CONTENTS,,0
25551,1,,SUMMARY,,1
25551,2,1., INTRODUCTION ,	1,1
25551,3,1.1, Introductory Statement ,	1,2
25551,4,1.2, Tenement Details ,	1,2
25551,5,1.3, Exploration Strategy ,	1,2
25551,6,1.4, Summary of Work Conducted ,	1,2
25551,7,2., SURFACE EVALUATION ,	2,1
25551,8,2.1, Geology ,	2,2
25551,9,2.2, Rock Chip sampling ,	2,2
25551,10,3., GEOPHYSICS ,	3,1
25551,11,3.1, Airborne GEOTEM ,	3,2
25551,12,3.2, Moving Loop EM ,	3,2
25551,13,3.3, Ground magnetics ,	4,2
25551,14,4., CONCLUSION ,	4,1
25551,15,5., REFERENCES ,	4,1
26114,0,,EPM 9526 	July 1994,,0
26114,1,,TABLE OF CONTENTS,,0
26114,2,,SUMMARY,,0
26114,3,,Page,,0
26114,4,1., 	INTRODUCTION ,	1,1
26114,5,2., 	TENEMENT DETAILS ,	1,1
26114,6,3., 	GEOLOGY ,	1,1
26114,7,4., 	PREVIOUS EXPLORATION ,	1,1
26114,8,5., 	BHP EXPLORATION PROGRAM ,	5,1
26114,9,5.1, 	Reconnaissance Sampling ,	5,2
26114,10,5.2, 	The Three Peaks Prospect ,	5,2
26114,11,5.2.1, 	Gridding ,	5,2
26114,12,5.2.2, 	Mapping ,	5,2
26114,13,5.2.3, 	Soil Sampling ,	5,2
26114,14,5.2.4, 	Ground Magnetics Survey ,	5,2
26114,15,6., 	DISCUSSION ,	6,1
26114,16,7., 	RECOMMENDATIONS AND CONCLUSIONS ,	6,1
26114,17,,REFERENCES ,	7,1
26114,18,,DEPAFITAEEAT GAEECANS A AND CESGY,,0
26114,19,,Expioratlo: Reports Management System,,0
26114,20,,TFANSACTION NO,,0
26114,21,,REPORT NC,,0
26114,22,,PAFT 	of,,0
26168,0,,CR CR#20 2 O 6 8,,0
26168,1,,EPM 9750 	January 1995,,0
26168,2,,TABLE OF CONTENTS,,0
26168,3,,Page,,0
26168,4,,SUMMARY,,1
26168,5,1., 	INTRODUCTION ,	1,1
26168,6,1.1, 	Introductory Statement ,	1,2
26168,7,1.2, 	Tenement Details ,	1,2
26168,8,1.3, 	Summary of Work Conducted ,	1,2
26168,9,2, 	REGIONAL GEOLOGY ,	1,1
26168,10,2.1, 	Stratigraphy ,	1,2
26168,11,2.2, 	Structure and Metamorphism ,	2,2
26168,12,3, 	EXPLORATION ACTIVITY ,	2,1
26168,13,3.1, 	Surface Inspection and Mapping ,	2,2
26168,14,3.2, 	Rock Chip Sampling ,	2,2
26168,15,3.3, 	Soil Geochemistry ,	2,2
26168,16,3.4, 	Airborne EM (GEOTEM) Survey Re-interpretation ,	3,2
26168,17,4, 	CONCLUSIONS ,	3,1
26168,18,,REFERENCES ,	4,1
26168,19,,DEPARTMENT OF MIAIKI,,0
26168,20,,Exploration Reports Managamen i,,0
26168,21,,TRANSACTION No,,0
26168,23,,REPORT NO,,0
26168,24,,.36.1.6.8,,0
26168,25,,PART,,0
26515,0,,EPM 9873 	January 1995,,0
26515,1,,TABLE OF CONTENTS,,0
26515,2,,SUMMARY,,1
26515,3,1., 	INTRODUCTION ,	1,1
26515,4,2., 	TENEMENT DETAILS ,	2,1
26515,5,3., 	GEOLOGY ,	2,1
26515,6,4., 	PREVIOUS EXPLORATION ,	3,1
26515,7,5., 	BHP EXPLORATION PROGRAM ,	3,1
26515,8,6., 	DISCUSSION ,	4,1
