DocID,TableNum,Columns,class
10189,1,['Unnamed: 0' 'Page '],0
10189,2,"['Unnamed: 1' 'DEPTH(M) ' 'XSOM ' 'XTOC ' 'SOM(ng)/ToC(g) SOM( /T0C(g '
 'SAT (ng) )/ToC(g ' '%SaOM ']",0
10189,3,"['- DEPTH(M) ' 'XSAT ' 'XAROM ' 'XNS0 ' 'PRIST/PHYT ' 'PRIST/NC17 '
 'PHYT/NC18 ' 'PAP ' 'AROM/SAT ' 'CPI(1) ' 'CPI(2) ' '21+22/28+29 ']",
10189,4,"['DEPTH(A) ' 'CN12 ' 'CN13 ' 'CN14 ' 'CN15 ' 'CN16 ' 'CN17 ' 'CN18 '
 'CN19 ' 'CN20 ' 'CN21 ' 'CN22 ' 'CN23 ' 'CN24 ' 'CN25 ' 'CN26 ' 'CN27 '
 'CN28 ' 'CN29 ' 'CN30 ' 'CN31 ']",0
10189,5,['DEPTH(m) ' 'Cr(%) ' 'Ct (%) ' 'Cr/ct ' 'Ct-Cr '],0
10189,6,"['Unnamed: 0' 'DEPTH(M ' 'XSOM ' 'XTOC ' 'SOM(mg)/T0C(g) '
 'SAT (ug) /ToC(g) ' '%SaM ']",0
10189,7,"['- - DEPTH(M) ' 'XSAT ' 'XAROM ' 'XNS0 ' 'PRIST/PHYT ' 'PRIST/NC17 '
 'PHYT/NC18 ' 'PAP ' 'AROM/SAT ' 'CPI (1) ' 'CPI(2) ' '21+22/28+29 ']",0
10189,8,"['-. - DEPTH(M) ' 'CN12 ' 'CN13 ' 'CN14 ' 'CN15 ' 'CN16 ' 'CN17 ' 'CN18 '
 'CN19 ' 'CN20 ' 'CN21 ' 'CN22 ' 'CN23 ' 'CN24 ' 'CN25 ' 'CN26 ' 'CN27 '
 'CN28 ' 'CN29 ' 'CN30 ' 'CN31 ']",0
10189,9,['Unnamed: 0' 'DEPTH(M) ' 'Cr (%) ' 'Ct(%) ' 'Cr/ct ' 'Ct-Cr '],0
10189,10,"['- DEPTH(M ' 'CN12 ' 'CN13 ' 'CN14 ' 'CN15 ' 'CN16 ' 'CN17 ' 'CN18 '
 'CN19 ' 'CN20 ' 'CN21 ' 'CN22 ' 'CN23 ' 'CN24 ' 'CN25 ' 'CN26 ' 'CN27 '
 'CN28 ' 'CN29 ' 'CN30 ' 'CN31 ']",0
10189,11,['%SOM ' 'Unnamed: 1' 'Percentage of soluble organic matter in the '],0
10189,12,['CLASSIFICATION ' 'Unnamed: 1' 'SOM* ' 'Unnamed: 3' 'SaOM* '],0
10189,13,['Sample Depth ' 'Lithology ' 'Sample Depth .1' 'Lithology .1'],0
10189,14,['Sample Depth ' 'Lithology ' 'Sample Depth .1' 'Lithology .1'],0
10189,15,"['pristane/n-C,. 17 ' '21+C22)/)C28*+C29) ' 'Unnamed: 2']",0
10189,16,['0 ' '3.0 ' '4.5 ' '8.0 '],0
10189,17,['Unnamed: 0' 'Unnamed: 1' 'Unnamed: 2'],0
10189,18,['Unnamed: 0' 'Unnamed: 1' 'Unnamed: 2' 'Unnamed: 3'],0
10189,19,['Unnamed: 0' 'Unnamed: 1' 'Unnamed: 3'],0
10189,20,['1100 o ' 'Unnamed: 1' 'Unnamed: 2' 'Unnamed: 4'],0
10189,21,['Unnamed: 0' 'Unnamed: 1' 'KA '],0
10189,22,['Unnamed: 0' '00 '],0
10189,23,['Unnamed: 0' '.0 ' 'Unnamed: 2' 'Unnamed: 3' '50.0 ' 'Unnamed: 5'],0
10189,24,['A '],0
10189,25,['Unnamed: 0' 'Unnamed: 2'],0
102109,1,['Holder: ' 'CST Minerals Lady Annie Exploration Pty Ltd '],0
102109,2,['1. SUMMARY '],0
102109,3,"['1: EPM11920 BIM, block and sub-blocks 2007 8 ']",0
102109,4,['Figure 1: EPM11920 (blue) and CST Tenure on Mount Isa Inlier geology with significant deposits 6 '],0
102109,5,['BIM ' 'BLOCK ' 'SUB-BLOCKS '],0
102109,6,['BIM ' 'BLOCK ' 'SUB-BLOCKS '],0
102109,7,"['Unnamed: 0' 'Unnamed: 1' 'Unnamed: 2' 'Unnamed: 3' 'Unnamed: 4'
 'Unnamed: 5' 'Unnamed: 6' 'Unnamed: 7' 'Unnamed: 8' 'Unnamed: 9']",0
102109,8,"['Dates ' 'EPM/A- P ' 'CR no. ' 'Target ' 'Exploration Activities '
 'Conclusions ']",0
