DocID,TableNum,Columns,Class,TagMethod
593,1,"['RIVERS ', 'INNER ', 'nan', 'by ', 'G. ', 'Rose. ']",0,manual
593,2,"['Adamson, C.L. ', 'Geological Report on the Pike Creek Dan Site. Teche Rept. Dept. of Mines, N.S.W. (to be published). ', 'Andrews, E.C. ', 'The Geology of the New Englandi Plateau with Serial Reference to the Granites of Northern New Engl nd. Hec. Geol. Surv. N.S.. Vol. VIII, pt.2, 108--152. ', 'Ball, L.C. ', 'Silver Spuur Mine Geol. Surv. ild. Publication No. 264. ', 'Carne, J.E. ', 'The Tin Mining Industry in Now South Wales. Miner. Resour. N.S.W. 14. ', 'Carne, J.E. & Jones, L.J. ', 'The Limestone lreposits of New South Walet. Miner. Resour. N.S.W. 25. 206. ', 'David, T.W.E. ', 'Geology of the Veyetable Creek Tin-Mining Field. Geol. Surv. N.S.W. Mem. 1. ', 'David, T.W.E. ei. Browne, W.R. ', 'The Geology of the Commonvealtl of Australis. London, Arold. ', 'Lucas, K.G. ', 'The sedimentary Petrology of the Palaeosoic stocks of the Border Rivers Area, with & Review of Structure. ', 'nan', 'M.So. Thesis Univ. old. (unpubl) aueensland-New South Wales Border Rivers Area. (New names in eensliind Stratigraphy) Australasian 0il & Cas Journal. Vol. No. ', 'nan', 'nan', 'nan', 'The Geology of iueensland. Ceol. Soc. Aust. Vol. 7 163 and 229. ', 'Saint-Smith, E.C. ', 'Geology and Mineral resources of Stanthorpe Ballandeen and Wailangarra. Geol. Surv. ild. Publication No. 243. ', 'Watson, I.A. ', 'Pike Creek Damsite - Preliminary Geological Investigation. Internal Rept. Later Con. Irrig. Comm. 58/17255 unpub. ']",0,manual
1229,1,"['Bendaaticeras ', 'flindersi ', 'Cephineceras ', 'daintreei ', 'Cephineceras ', 'ogilviet ', 'Nyloceras sp. ', 'nan', 'nan', 'Appurdiceras sp. ', 'nan', 'nan', 'Cymateceres ', 'hendersoni ', 'Cyrenopsis sp. ', nan, nan]",0,manual
1229,2,"['Laing, ', 'A.C.M. ', 'and Powr, P.L. 1960. Carpentarin Sub-bain: In the Geoloey of Qucnsland, Jour. Geo1. Soc. hust. vol. 7, P. 324 ', 'Moody, ', 'J.D., and ', 'Hill, M.J. 1956. Wrenoh-fault teetonics: Geol. Soc. Amer. Bull. vol. 67. p. 1207 ', 'Rade, ', 'J. 1953. ', 'Toctonics and isooiated volcanic activity in the central part of Australian New Guinea. Jour. Science, vol. 15, No. ?. 115 ', 'Rade, ', 'J., 1954a. ', 'Geology and subsurfaee waters of the Moree District, Now South Wales: Jour. Proc. Roy. Soc. N.S.W. vol. 87, p. 152. ', 'Rade, ', 'J. 1954b. ', 'Geology and sub-surface waters of the area north of the Darling River between longitudes 145 and 149""E. N.S.W. Jour. Proc. Roy. Soc. N.S.W., vol. 88, p.24 ', 'Rade, ', 'J. 1954c. ', 'Warialda intake beis: Jour. Proc. Roy. Soc. N.S.W., vol. 88, p:40 ', 'Rade J., ', 'Geology and sub-strtace waters of the Coonamble Basin, N.S.W. Jour. Proc. Roy. Soc. N.S.W. vol. 88, p.77 ', 'Rade, ', 'J. 1956. ', 'Notes on the geotectonios and uranium ninerulization in the northern part of the Northern Territory Auatralia: Econ. Geol. vol. 51, No. 4. P. 354. ', 'Rade, ', 'J. 1957a. ', 'Shearing along anticlines 88 an important structural feature in uranium matneralization in the northern part of the Northern Territory of Australia: Econ. Geol. vol. No. 3 p. 282. ', 'Rade, ', 'J. 1957b. ', 'Geology und sub-surfuoe waters of the area west of Deep Well, Allce Springs District, Northern Territory Transaot, Roy. So. South Aust. vol. 80, p. 91. ', 'Rade, ', 'J. 1959. ', 'Structural control of uranium mineralisation in Australia: Gool. Miar. vol. 96, No. 3 P. 177. ']",0,manual
2646,1,"['Unnamed: 0', 'Page ', 'OBJECTIVES ', 'DRILLING ', 'GEOLOGY ', 'QUALITY ', 'CONCLUSIONS ']",0,manual
2646,2,"['Bore ', 'Total Depth ', 'Depth to Coal ', 'Coal Thickness ', 'nan', 'ft. ', 'ft. ', 'ft. ', 'A36 ', 'nan', 'nan', 'A37 ', 'nan', 'nan', 'A38 ', 'nan', 'nan', 'A38A ', 'nan', 'nan', 'A39 ', 'nan', 'nan', 'A40 ', 'A41 ', 'nan', 'nan', 'A42 ', 'A43 ', 'nan', 'nan', 'A44 ', nan, nan]",1,manual
2646,3,"['Bore ', 'Seam Thickness ', 'Recovery ', 'Moisture ', 'Ash ', 'Vol. M. ', 'S.I. ', 'nan', 'nan', 'e F1.45 ', 'nan', 'A35 ', 'A40 ', 'A42 ', 'Stage III ', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'A21 ', 'A30 ', 'A31 ', 'A32 ', 'A33 ']",1,manual
2984,1,"['SUMMARY ', 'Unnamed: 1', 'INTRODUCTION ', 'EXPERIMENTAL ', 'RESULTS ', 'DISCUSSION ', 'RECOMMENDED PROCEDURE FOR TESTING ', 'FUTURE BEACH SAND SAMPLES ', 'nan', 'CONCLUSIONS ', 'ACKNOWLEDGEMENTS ', 'REFERENCES ', 'APPENDIX A. USES, ANALYSIS AND PRICES ', 'OF MINERALS RECOVERED FROM AUSTRALIAN BEACH SANDS ', 'nan', 'APPENDIX B. MINERAL DRESSING PRACTICE IN THE BEACH MINING INDUSTRY ', 'APPENDIX C. DETAILED RESULTS ']",0,manual
2984,2,"['Mineral dressing tests carried out on six samples of ', 'beach sand from the Rockhampton area have shown, ', 'ilmenite, ', 'analysed in excess of 0. .27% Cr ', 'low to be assessed by chemical analysis ', 'about 9% to about 15% (estimated from grain counts), ']",0,manual
2984,3,"['Location ', 'Interval ', 'F ', 'G ', 'R1 ']",0,manual
2984,4,"['Species ', 'Grains per 100 ', 'opaques ', 'zircon + monazite ', 'rutile ', 'rest (quartz, garnet etc. ) ']",0,manual
2984,5,"['Rockhampton deposits are similar to the W. A. beach ', 'deposits in heavy mineral composition. ', 'Because of the large proportion of ilmenite in the heavy ', 'mineral fraction of the Rockhampton beach sands, ', 'markets for ilmenite would have to be found for the ', 'deposits to be economically attractive. ', 'The Rockhampton ilmenites are unlikely to be attractive ', 'to the pigment industry because of their high chrome ', 'content. ', 'Other factors which could affect the economic viability ', 'of the Rockhampton deposits are: ', 'techniques and efficiencies, and ', 'The cost of testing beach sand samples in the laboratory ', 'could be markedly reduced by testing in stages with a ']",0,manual
3051,1,"['INTRODUCTION ', 'MATERIALS EXAMINED ', 'EXPERIMENTAL PROCEDURE AND RESULTS ', 'DISCUSSION ', 'CONCLUSIONS AND RECOMMENDATIONS ', 'ACKNOWLEDGEMENTS ', 'REFERENCES ']",0,manual
3051,2,"['Coal ', 'Exchange ', 'Capacity ', 'Yield (oleum ', 'sulphonation) ', 'nan', 'Maximum ', 'Average of 4 Highest ', 'Maximum ', 'Average of 4 Highest ', 'Collie ', 'Rosewood ', 'Greta ', 'Bulli ']",0,manual
3051,3,"['Sample C ', 'EX (Institute) ', 'Origin (Field) ', 'Modification ', 'Method ', 'Carboxylic Acidty me/g ', 'i (a) ', 'CSIRO (b) ', 'na (e) (brown coal) ', 'Cxidiced ', 'T.2 ', 'CSIRO ', 'na (brown coal) ', 'Oxidized ', 'na ', 'CSIRO ', 'na (brown coal) ', 'Oxidized ', 'na ', 'sec(c) ', 'Yallourn ', 'Crude ', 'SEC ', 'Yallourn ', 'Crude ', 'SEC ', 'Morwell ', 'Crude ', 'SEC ', 'Morwell ', 'Crude ', 'SEC ', 'na ', 'Crude (high inor- ganic sulphur) ', 'na ', 'ACIRL (d) ', 'Collie ', 'Crude ', 'ACIRL ', 'Collie ', 'Amidized ', 'Fluid bed + NH3 ', 'ACIRL ', 'Collie ', 'Oxidized ', 'Fluid bed /2000c ', 'ACIRL ', 'Leigh Creek ', 'Oxidized ', 'Fluid bed /2000C ', 'ACIRL ', 'Rosewood ', 'Crude ', 'ACIRL ', 'Rosewood ', 'Amidized ', 'Fluid bed + NH3 ', 'ACIRL ', 'Rosewood ', 'Oxidized ', 'Fluid bed /2000c ', 'ACIRL ', 'Leigh Creek ', 'Crude ', 'ACIRL ', 'Leigh Creek ', 'Amidized ', 'Fluid bed + NH3 ', 'ACIRL ', 'Lithgow ', 'Crude ', 'ACIRL ', 'Lithgow ', 'Amidized ', 'Fluid bed + NH3 ', 'ACIRL ', 'Lithgow ', 'Oxidized ', 'Fluid bed /2000c ']",0,manual
3051,4,"['Exchange Capacity meq/g ', 'Active Group ', 'Origin ', 'Remarks ', 'SO3H ', 'Newcastle ', 'Sulphonated ', 'SUH ', 'Newcastle ', 'Sulphonated ', 'COOH ', 'Yallourn ', 'Cude ', 'COOH ', 'Collie ', 'Crude ', 'COOH ', 'Leigh Creek ', 'Crude ', 'COOH ', 'CSIRO (?) ', 'Oxidized ', 'COOH ', 'CSIRO (?) ', 'Oxidized ', 'COOH ', 'CSIRO (?) ', 'Oxidized ', 'COOH ', 'Collie ', 'Oxidized ', 'COOH ', 'Leigh Creek ', 'Oxidized ', 'COOH ', 'Rosewood ', 'Oxidized ', 'COOH ', 'Lithgow ', 'Oxidized ', 'COOH ', 'Newcastle ', 'Oxidized ']",0,manual
