DocID,PageNum,LineNum,Text,Left,Top,SectionPrefix,SectionText,SectionPage,ProcessedText,Heading,TagMethod
10189,2,2,CONTENTS,0.4343195855617523,0.08554855734109879,,CONTENTS,,CONTENTS,,
10189,2,3,Page,0.8316994905471802,0.1183413490653038,,Page,,Page,,
10189,2,4,TABULATED DATA 	2,0.1976267248392105,0.15721431374549866,,TABULATED DATA ,cyfra1 ,TABULATED DATA cyfra1 ,,
10189,2,5,THEORY AND METHOD 	16,0.1977989822626114,0.19847013801336288,,THEORY AND METHOD ,cyfra1 ,THEORY AND METHOD cyfra1 ,,
10189,2,6,COMMENTS AND CONCLUSIONS 	26,0.19793206453323364,0.24128888547420504,,COMMENTS AND CONCLUSIONS ,cyfra1 ,COMMENTS AND CONCLUSIONS cyfra1 ,,
10189,2,7,PLOTS OF DATA VERSUS DEPTH 	35,0.1958078294992447,0.28419075906276703,,PLOTS OF DATA VERSUS DEPTH ,cyfra1 ,PLOTS OF DATA VERSUS DEPTH cyfra1 ,,
10189,2,8,n-ALKANE DISTRIBUTIONS 	46,0.19753582775592804,0.3266426622867584,,n-ALKANE DISTRIBUTIONS ,cyfra1 ,n-ALKANE DISTRIBUTIONS cyfra1 ,,
10189,2,9,CAPILLARY GLC TRACES 	68,0.1962776780128479,0.36899580061435705,,CAPILLARY GLC TRACES ,cyfra1 ,CAPILLARY GLC TRACES cyfra1 ,,
102109,3,1,CST MINERALS LADY ANNIE EXPLORATION PTY LTD 	EPM11920 ROUND MOUNT PROJECT ANNUAL REPORT,0.11734791845083235,0.04623490013182163,,CST MINERALS LADY ANNIE EXPLORATION PTY LTD 	EPM11920 ROUND MOUNT PROJECT ANNUAL REPORT,,CST MINERALS LADY ANNIE EXPLORATION PTY LTD 	EPM11920 ROUND MOUNT PROJECT ANNUAL REPORT,,
102109,3,2,TABLE OF CONTENTS,0.4002799093723297,0.12932409346103668,,TABLE OF CONTENTS,,TABLE OF CONTENTS,,
102109,3,3,1. 	SUMMARY 	2,0.11763084679841995,0.1664734681447347,cyfra1 punkt , 	SUMMARY ,cyfra1 ,cyfra1 punkt  	SUMMARY cyfra1 ,,
102109,3,4,2. 	COMPANY OVERVIEW 	5,0.11757516860961915,0.19187038640181225,cyfra1 punkt , 	COMPANY OVERVIEW ,cyfra1 ,cyfra1 punkt  	COMPANY OVERVIEW cyfra1 ,,
102109,3,5,3. 	LOCATION 	6,0.11725372076034545,0.2173876166343689,cyfra1 punkt , 	LOCATION ,cyfra1 ,cyfra1 punkt  	LOCATION cyfra1 ,,
102109,3,6,4. 	TENURE 	8,0.11704680323600768,0.24275905390580496,cyfra1 punkt , 	TENURE ,cyfra1 ,cyfra1 punkt  	TENURE cyfra1 ,,
102109,3,7,5. 	GEOLOGICAL SETTING 	10,0.11753671616315844,0.26781519254048664,cyfra1 punkt , 	GEOLOGICAL SETTING ,cyfra1 ,cyfra1 punkt  	GEOLOGICAL SETTING cyfra1 ,,
102109,3,8,5.1. 	Regional Geology 	10,0.13696976006031036,0.29319921135902405,cyfra1 punkt cyfra2 punkt , 	Regional Geology ,cyfra1 ,cyfra1 punkt cyfra2 punkt  	Regional Geology cyfra1 ,,
102109,3,9,5.2. 	Local Geology 	10,0.13686399161815646,0.3225744267304738,cyfra1 punkt cyfra2 punkt , 	Local Geology ,cyfra1 ,cyfra1 punkt cyfra2 punkt  	Local Geology cyfra1 ,,
102109,3,10,5.3. 	Prospect Geology 	12,0.13692286610603333,0.3521599570910136,cyfra1 punkt cyfra2 punkt , 	Prospect Geology ,cyfra1 ,cyfra1 punkt cyfra2 punkt  	Prospect Geology cyfra1 ,,
102109,3,11,6. 	HISTORIC EXPLORATION 	13,0.11752810329198835,0.3817249437173208,cyfra1 punkt , 	HISTORIC EXPLORATION ,cyfra1 ,cyfra1 punkt  	HISTORIC EXPLORATION cyfra1 ,,
