original,transformed,pagenum,position
6,6,6,-1
1,1,1,-1
5,5,5,-1
4,4,4,-1
3,3,3,-1
1,1,1,-1
2,2,2,-1
2,2,2,-1
6,6,6,-1
7,7,7,-1
4,4,4,-1
5,5,5,-1
3,3,3,-1
2,2,2,-1
Page 1 of 1,page 1 word 1 ,1,-3
"BHP Burton No. 1 Completion Report 	Page No. 4",word word word 1 word word tab page word 4 ,4,-1
"BHP Burton No. 1 Completion Report 	Page No. 1",word word word 1 word word tab page word 1 ,1,-1
"BHP Burton No. 1 Completion Report 	Page No. 3",word word word 1 word word tab page word 3 ,3,-1
"CR 10980 	Page 2",word bigNum tab page 2 ,2,-1
"CR 10980 	Page 1",word bigNum tab page 1 ,1,-1
"BHP Burton No. 1 Completion Report 	Page No. 2",word word word 1 word word tab page word 2 ,2,-1
"CR 10980 	Page 4",word bigNum tab page 4 ,4,-1
"CR 10861 	Page 1",word bigNum tab page 1 ,1,-1
"CR 10980 	Page 3",word bigNum tab page 3 ,3,-1
4,4,4,-1
"APRIL, 2009 	16",month bigNum tab 16 ,16,-1
"APRIL, 2009 	20",month bigNum tab 20 ,20,-1
"APRIL, 2009 	10",month bigNum tab 10 ,10,-1
"APRIL, 2009 	26",month bigNum tab 26 ,26,-1
"APRIL, 2009 	24",month bigNum tab 24 ,24,-1
"APRIL, 2009 	28",month bigNum tab 28 ,28,-1
"APRIL, 2009 	27",month bigNum tab 27 ,27,-1
"APRIL, 2009 	23",month bigNum tab 23 ,23,-1
"APRIL, 2009 	12",month bigNum tab 12 ,12,-1
"APRIL, 2009 	17",month bigNum tab 17 ,17,-1
"APRIL, 2009 	22",month bigNum tab 22 ,22,-1
"APRIL, 2009 	9",month bigNum tab 9 ,9,-1
"APRIL, 2009 	19",month bigNum tab 19 ,19,-1
"APRIL, 2009 	4",month bigNum tab 4 ,4,-1
"APRIL, 2009 	29",month bigNum tab 29 ,29,-1
"APRIL, 2009 	7",month bigNum tab 7 ,7,-1
"APRIL, 2009 	25",month bigNum tab 25 ,25,-1
