DocID,LineNum,SectionText,Heading
21838,0,TABLE OF CONTENTS,0
21838,1,Page,0
21838,2,cyfra1 punkt  	INTRODUCTION cyfra1 ,1
21838,3,cyfra1 punkt  	TENEMENT HISTORY cyfra1 ,1
21838,4,cyfra1 punkt cyfra2  Authority to Prospect 5899M cyfra1 ,2
21838,5,"""Stockman Creek""",0
21838,6,cyfra1 punkt cyfra2  Authority to Prospect 6050M cyfra1 ,2
21838,7,"""Einasleigh""",0
21838,8,cyfra1 punkt  	WORK CONDUCTED cyfra1 ,1
21838,9,cyfra1 punkt  	GEOPHYSICS cyfra1 ,1
21838,10,cyfra1 punkt cyfra2  Introduction cyfra1 ,2
21838,11,cyfra1 punkt cyfra2  Railway Flats and Coolaba Flats cyfra1 ,2
21838,12,Moving Loop,0
21838,13,cyfra1 punkt cyfra2  Coolaba Flats Fixed Loop cyfra1 ,2
21838,14,cyfra1 punkt cyfra2  Railway Flats Fixed LOOP SIROTEM cyfra1 ,2
21838,15,cyfra1 punkt cyfra2  Stockman Creek Fixed LOOP SIROTEM cyfra1 ,2
21838,16,cyfra1 punkt  	CONCLUSIONS AND RECOMMENDATIONS cyfra1 ,1
21838,17,cyfra1 punkt  	REFERENCES cyfra1 ,1
21838,18,APPENDIX I,0
21838,19,SIROTEM Profiles,0
22701,0,CONTENTS,0
22701,1,SUMMARY,1
22701,2,cyfra1 punkt  	INTRODUCTION,1
22701,3,cyfra1 punkt  	TITLES,1
22701,4,cyfra1 punkt  	PREVIOUS EXPLORATION,1
22701,5,cyfra1 punkt  	GEOLOGY,1
22701,6,cyfra1 punkt  	EXPLORATION FOR THE PERIOD ENDED 25TH MAY 1991,1
22701,7,cyfra1 punkt cyfra2  	DRILLING RESULTS,2
22701,8,cyfra1 punkt cyfra2  	DISCUSSION OF DRILLING RESULTS,2
22701,9,"cyfra1 punkt  	CONCLUSIONS, RECOMMENDATIONS AND PROPOSED WORK",1
22701,10,cyfra1 punkt  	EXPENDITURE,1
23543,0,TABLE OF CONTENTS,0
23543,1,PAGE,0
23543,2,cyfra1 punkt  	INTRODUCTION,1
23543,3,cyfra1 punkt  	TENEMENT DETAILS,1
23543,5,PREVIOUS WORK AND LITERATURE REVIEW,1
23543,7,GEOLOGY AND GEOPHYSICS,1
23543,8,cyfra1 punkt  RECOMMENDATIONS,1
23543,9,FIGURES,0
23543,10,DRAWING NO,0
23543,11,"FIGURE 1 LOCATION MAP, EPM 7777",0
23543,12,A4-1311,0
23543,13,FIGURE 2 GROUND MAGNETIC TRAVESE LOCATIONS 	A4-1370,0
23543,14,APPENDICES,0
23543,15,APPENDIX 1,0
23543,16,GROUND MAGNETIC PROFILES,0
24362,0,TABLE OF CONTENTS,0
24362,1,SUMMARY,1
24362,2,cyfra1 punkt  INTRODUCTION cyfra1 ,1
24362,3,cyfra1 punkt  TENEMENT DETAILS cyfra1 ,1
24362,4,cyfra1 punkt  PREVIOUS WORK cyfra1 ,1
24362,5,cyfra1 punkt  WORK CONDUCTED cyfra1 ,1
24362,6,cyfra1 punkt  CONCLUSIONS cyfra1 ,1
24362,7,APPENDICES,0
24362,8,cyfra1 punkt  	AEROMAGNETIC SURVEY DETAILS,0
24362,9,LIST OF FIGURES,0
24362,10,Drawing No. 	Scale,0
24362,11,cyfra1 punkt  Location Map EPM 7786 - 	A4-1223C 1:1000 000,0
24362,12,Longford Relinquishment Area,0
24362,13,LIST OF PLATES,0
24362,14,cyfra1 punkt  	Aeromagnetic Contours for 	A1-1412 1:100 000,0
24362,15,area relinquished.,0
25551,0,TABLE OF CONTENTS,0
25551,1,SUMMARY,1
25551,2,cyfra1 punkt  INTRODUCTION cyfra1 ,1
25551,3,cyfra1 punkt cyfra2  Introductory Statement cyfra1 ,2
25551,4,cyfra1 punkt cyfra2  Tenement Details cyfra1 ,2
25551,5,cyfra1 punkt cyfra2  Exploration Strategy cyfra1 ,2
25551,6,cyfra1 punkt cyfra2  Summary of Work Conducted cyfra1 ,2
25551,7,cyfra1 punkt  SURFACE EVALUATION cyfra1 ,1
25551,8,cyfra1 punkt cyfra2  Geology cyfra1 ,2
25551,9,cyfra1 punkt cyfra2  Rock Chip sampling cyfra1 ,2
25551,10,cyfra1 punkt  GEOPHYSICS cyfra1 ,1
25551,11,cyfra1 punkt cyfra2  Airborne GEOTEM cyfra1 ,2
25551,12,cyfra1 punkt cyfra2  Moving Loop EM cyfra1 ,2
25551,13,cyfra1 punkt cyfra2  Ground magnetics cyfra1 ,2
25551,14,cyfra1 punkt  CONCLUSION cyfra1 ,1
25551,15,cyfra1 punkt  REFERENCES cyfra1 ,1
26114,0,EPM 9526 	July 1994,0
26114,1,TABLE OF CONTENTS,0
26114,2,SUMMARY,0
26114,3,Page,0
26114,4,cyfra1 punkt  	INTRODUCTION cyfra1 ,1
26114,5,cyfra1 punkt  	TENEMENT DETAILS cyfra1 ,1
26114,6,cyfra1 punkt  	GEOLOGY cyfra1 ,1
26114,7,cyfra1 punkt  	PREVIOUS EXPLORATION cyfra1 ,1
26114,8,cyfra1 punkt  	BHP EXPLORATION PROGRAM cyfra1 ,1
26114,9,cyfra1 punkt cyfra2  	Reconnaissance Sampling cyfra1 ,2
26114,10,cyfra1 punkt cyfra2  	The Three Peaks Prospect cyfra1 ,2
26114,11,cyfra1 punkt cyfra2 punkt cyfra3  	Gridding cyfra1 ,2
26114,12,cyfra1 punkt cyfra2 punkt cyfra3  	Mapping cyfra1 ,2
26114,13,cyfra1 punkt cyfra2 punkt cyfra3  	Soil Sampling cyfra1 ,2
26114,14,cyfra1 punkt cyfra2 punkt cyfra3  	Ground Magnetics Survey cyfra1 ,2
26114,15,cyfra1 punkt  	DISCUSSION cyfra1 ,1
26114,16,cyfra1 punkt  	RECOMMENDATIONS AND CONCLUSIONS cyfra1 ,1
26114,17,REFERENCES cyfra1 ,1
26114,18,DEPAFITAEEAT GAEECANS A AND CESGY,0
26114,19,Expioratlo: Reports Management System,0
26114,20,TFANSACTION NO,0
26114,21,REPORT NC,0
26114,22,PAFT 	of,0
26168,0,CR CR#20 2 O 6 8,0
26168,1,EPM 9750 	January 1995,0
26168,2,TABLE OF CONTENTS,0
26168,3,Page,0
26168,4,SUMMARY,1
26168,5,cyfra1 punkt  	INTRODUCTION cyfra1 ,1
26168,6,cyfra1 punkt cyfra2  	Introductory Statement cyfra1 ,2
26168,7,cyfra1 punkt cyfra2  	Tenement Details cyfra1 ,2
26168,8,cyfra1 punkt cyfra2  	Summary of Work Conducted cyfra1 ,2
